Nickname: giacomo, Score: 40, Level: 1
Nickname: m, Score: 60, Level: 1
Nickname: m, Score: 40, Level: 1
Nickname: marta, Score: 70, Level: 1
Nickname: m, Score: 60, Level: 1
Nickname: m, Score: 70, Level: 1
Nickname: m, Score: 50, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 20, Level: 1
Nickname: m, Score: 110, Level: 5
Nickname: m, Score: 40, Level: 1
Nickname: m, Score: 20, Level: 1
Nickname: m, Score: 80, Level: 1
Nickname: m, Score: 60, Level: 1
Nickname: m, Score: 40, Level: 1
Nickname: m, Score: 60, Level: 1
Nickname: m, Score: 40, Level: 1
Nickname: marta, Score: 80, Level: 1
Nickname: m, Score: 100, Level: 2
Nickname: marti, Score: 0, Level: 1
Nickname: m, Score: 90, Level: 2
Nickname: martina, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 30, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
Nickname: marta, Score: 40, Level: 1
